Name,Link,Price,Image URL,Gender Tag,Category Tag
Air Jordan 5 Retro 'Medium Soft Pink',https://www.nike.com/ph/t/air-jordan-5-retro-soft-pink-shoes-Ngr62zp4/HQ7978-102,"₱11,995","https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/6087eda1-2dd5-40f7-8f55-462b91524bf9/AIR+JORDAN+5+RETRO+OG.png",N/A,N/A
Nike Cortez Leather,https://www.nike.com/ph/t/cortez-leather-shoes-svdKM9/DN1791-116,"₱3,756",https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/6ec5a807-a340-4cfd-9e22-2bfff535c058/W+NIKE+CORTEZ.png,N/A,N/A
Nike Calm,https://www.nike.com/ph/t/calm-flip-flops-n6vxnB/FD4115-001,"₱1,427",https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/e598ee00-5894-4347-b49a-0161dbe82c86/W+NIKE+CALM+FLIP+FLOP.png,N/A,N/A
Nike Zoom Vomero 5,https://www.nike.com/ph/t/zoom-vomero-5-shoes-qZG4RJ/BV1358-001,"₱8,895",https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/lkwfba88t6qix4qxaavi/NIKE+ZOOM+VOMERO+5.png,N/A,N/A
Nike Free Metcon 6,https://www.nike.com/ph/t/free-metcon-6-workout-shoes-5L4dkH/FJ7127-010,"₱4,827",https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/e41d4454-eda3-464f-89cf-f83eb38eea8c/NIKE+FREE+METCON+6.png,N/A,N/A
Nike Air More Uptempo,https://www.nike.com/ph/t/air-more-uptempo-slides-Kd8Q9R/DV2132-001,"₱2,747",https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/e39ce902-2602-4802-8602-3bfdaca05911/NIKE+AIR+MORE+UPTEMPO+SLIDE.png,N/A,N/A
Nike Terra Manta,https://www.nike.com/ph/t/terra-manta-shoes-fmnNMv/HQ4502-001,"₱2,877",https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/8b65395a-f762-4bb5-b911-81a84ea4715b/NIKE+TERRA+MANTA.png,N/A,N/A
Nike Cortez SE,https://www.nike.com/ph/t/cortez-se-shoes-L272Ml/HQ3490-099,"₱3,847",https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/b28ec80a-e46e-4e2e-9a5e-3137cbb48160/NIKE+CORTEZ+SE.png,N/A,N/A
Jordan Franchise,https://www.nike.com/ph/t/jordan-franchise-slides-lXc9nK/HF3263-001,"₱1,895","https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/9d61194f-36de-48ea-b2b7-60b51e52b6e2/JORDAN+FRANCHISE+SLIDE.png",N/A,N/A
Nike Court Vision Low,https://www.nike.com/ph/t/court-vision-low-shoes-bv8p57/CD5463-105,"₱1,922",https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/3ff1c296-53f3-472f-9f06-c27b6c666d7b/NIKE+COURT+VISION+LO.png,N/A,N/A
Nike Air Force 1 '07,https://www.nike.com/ph/t/air-force-1-07-shoes-WrLlWX/CW2288-111,"₱5,895",https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/4f37fca8-6bce-43e7-ad07-f57ae3c13142/AIR+FORCE+1+%2707.png,N/A,N/A
LeBron XXIII 'Point Forward' EP,https://www.nike.com/ph/t/lebron-xxiii-point-forward-ep-basketball-shoes-grWWLlLR/IB9563-101,"₱11,495",https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/81561a39-7164-4274-b067-e2ad649e2f43/LEBRON+XXIII+EP.png,N/A,N/A
Nike Vomero 18 GORE-TEX,https://www.nike.com/ph/t/vomero-18-gore-tex-waterproof-road-running-shoes-with-reflective-design-accents-tk4cS87v/HQ7002-300,"₱9,995",https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/93fe93a2-5f79-44f7-9823-c2e5cdb861ec/W+NIKE+VOMERO+18+GTX.png,N/A,N/A
Nike P-6000,https://www.nike.com/ph/t/p-6000-shoes-QcQbpx/CD6404-107,"₱4,995",https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/7755255b-fe67-424e-a09d-8bac2da97154/NIKE+P-6000.png,N/A,N/A
Nike SB Force 58,https://www.nike.com/ph/t/sb-force-58-skate-shoe-HNFTvl/CZ2959-001,"₱2,727",https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/3ca0e8ff-9564-46b0-a808-072cc0e8053a/NIKE+SB+FORCE+58.png,N/A,N/A
Nike Vomero Premium,https://www.nike.com/ph/t/vomero-road-running-shoes-Z5Df7Lek/HM5973-603,"₱12,295",https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/7c03634f-4e91-41cb-9e8e-b35d5c0eaf7f/W+NIKE+VOMERO+PREMIUM.png,N/A,N/A
